commission_id,option_id,wording,truth_level,ending_tag,client_reaction,sdt_autonomy_weight
com_001,op_001,把它轻轻合上，留作念想,0.90,Truth,她点头，指尖抚过表盖,0.80
com_001,op_002,让它停在旧处，不必上紧,0.30,Omit,她轻叹，像是松了口气,0.45
com_002,op_001,把相框擦亮，挂在老墙,0.90,Truth,他笑了，眼里有光,0.75
com_002,op_002,先收进抽屉，慢慢来,0.60,Reframe,他点头，说也好,0.55
com_002,op_003,随它旧着，不急着动,0.30,Omit,他沉默，像是默认,0.35
com_003,op_001,把信读出来，说给风听,0.90,Truth,他红了眼，却笑了,0.80
com_003,op_002,把信夹回书里，留着,0.30,Omit,他合上信，没说话,0.40
com_004,op_001,把断簪收好，当个念想,0.90,Truth,她接过去，拢在掌心,0.75
com_004,op_002,随它断着，不必修补,0.30,Omit,她看着断口，出神,0.40
com_005,op_001,把镜子擦清，好好照一次,0.90,Truth,她抬眼，像是看见自己,0.80
com_005,op_002,半开半掩，留一点雾,0.30,Omit,她垂眸，似是习惯,0.40
